N,t_a,t_b,t_c,t_d,t_e
10000,2.2662e-05,0.0027736,0.00724058,0.00466656,0.00106163
20000,4.2393e-05,0.00191751,0.0274387,0.0179714,0.00104706
30000,5.9354e-05,0.0762281,0.0620876,0.0399157,0.000974195
10000,2.1274e-05,0.00583088,0.0072596,0.00467447,0.0010567
20000,5.4813e-05,0.00911207,0.0274441,0.0179701,0.00104503
30000,6.1494e-05,0.00927073,0.0620659,0.039891,0.00097944
10000,2.1097e-05,0.0147584,0.00717297,0.00471893,0.0010386
20000,4.5431e-05,0.00357397,0.0274278,0.0180632,0.00101117
30000,5.751e-05,0.0119886,0.0620438,0.0398759,0.00098266
10000,2.1131e-05,0.165777,0.00715699,0.00471078,0.00104063
20000,4.3882e-05,0.0433648,0.0274299,0.0179695,0.00104852
30000,6.2636e-05,0.00396238,0.0621374,0.0398152,0.00104374
10000,2.2546e-05,0.00250909,0.00717612,0.00469225,0.00104091
20000,4.2874e-05,0.00576617,0.0274519,0.0179953,0.00104566
30000,6.1851e-05,0.0911804,0.0620598,0.0398042,0.00105569
10000,3.3064e-05,0.00190967,0.00717378,0.0047161,0.00103892
20000,4.0369e-05,0.00222159,0.0275043,0.0179829,0.00104565
30000,5.3848e-05,0.0020112,0.0622495,0.0398385,0.00103683
10000,1.8668e-05,0.00554318,0.00716993,0.00471619,0.00104483
20000,3.956e-05,0.0102564,0.0274527,0.0179498,0.00104102
30000,5.4991e-05,0.0646453,0.0622064,0.0398235,0.00103696
10000,1.8109e-05,0.0096969,0.00718307,0.00472032,0.00104178
20000,3.721e-05,0.00242069,0.0274679,0.0179415,0.00104835
30000,5.2517e-05,0.0855158,0.0621818,0.0398304,0.00103829
10000,1.8644e-05,0.0266016,0.00716929,0.00472435,0.00104385
20000,4.26e-05,0.00235489,0.0275042,0.0179618,0.00104796
30000,5.2254e-05,0.0467419,0.0621435,0.0398462,0.00103835
10000,1.9618e-05,0.00482956,0.007184,0.00471511,0.00104631
20000,4.025e-05,0.00530138,0.027466,0.0179911,0.00104726
30000,5.4512e-05,0.0105363,0.0621665,0.0398365,0.00103628
10000,1.9427e-05,0.0764586,0.00716916,0.00474435,0.00103964
20000,3.8859e-05,0.017696,0.0274898,0.0179516,0.00105182
30000,5.6478e-05,0.01342,0.0621697,0.0398087,0.0010421
10000,1.868e-05,0.00388228,0.0071743,0.00470131,0.00103677
20000,4.2112e-05,0.00599693,0.0274919,0.0179707,0.00104503
30000,5.2804e-05,0.0249732,0.062261,0.0398338,0.00103968
10000,3.3144e-05,0.00107982,0.00715727,0.00472465,0.00104195
20000,4.2748e-05,0.00190733,0.0274422,0.0179691,0.00105018
30000,5.6094e-05,0.00118703,0.0619911,0.0398863,0.000980601
10000,2.0227e-05,0.00488776,0.00718099,0.00472992,0.00104753
20000,4.3197e-05,0.0034786,0.0274999,0.0180043,0.00104649
30000,5.7926e-05,0.00142253,0.0622224,0.0398981,0.000979175
10000,2.0912e-05,0.00318996,0.00716385,0.0047282,0.00104352
20000,3.9656e-05,0.00220154,0.0275143,0.0179466,0.00104419
30000,5.1958e-05,0.00179867,0.062167,0.0399446,0.000960821
10000,1.9329e-05,0.00256153,0.00718427,0.00472457,0.00104462
20000,4.1159e-05,0.00206699,0.0274762,0.0179641,0.0010385
30000,5.7111e-05,0.00165248,0.0621926,0.0399324,0.000977244
10000,2.1179e-05,0.0302254,0.00717734,0.00472101,0.00104568
20000,3.982e-05,0.00223035,0.0274745,0.0179661,0.00103652
30000,5.7731e-05,0.0026823,0.0621792,0.0398849,0.000983239
10000,2.1136e-05,0.00161507,0.00718701,0.00471535,0.0010404
20000,3.9919e-05,0.0300364,0.0274756,0.0179675,0.0010437
30000,5.8117e-05,0.00298359,0.062217,0.0399085,0.00098175
10000,1.8539e-05,0.00206726,0.00717065,0.00472162,0.00104825
20000,4.3489e-05,0.00229572,0.0274736,0.0180231,0.00105152
30000,5.6824e-05,0.00307318,0.0621632,0.0399216,0.000992152
10000,2.1025e-05,0.0016063,0.00717002,0.00471466,0.0010408
20000,3.8563e-05,0.00157281,0.0275011,0.01799,0.00104969
30000,6.1815e-05,0.00182412,0.0622042,0.0398861,0.000975211
10000,2.0629e-05,0.00170402,0.00718116,0.00470433,0.00103765
20000,3.7417e-05,0.00161441,0.0275173,0.0179458,0.00104606
30000,5.729e-05,0.027427,0.0621208,0.0398643,0.000985666
1000,1.379e-06,0.00156085,0.000151166,0.000115764,2.6734e-05
5000,1.009e-05,0.00378064,0.00195043,0.00127717,3.273e-05
10000,2.0996e-05,0.00146928,0.00717802,0.00472012,0.00104111
15000,4.6893e-05,0.00146706,0.0158602,0.010271,0.00106054
20000,3.9088e-05,0.00143714,0.0274957,0.0179939,0.00105053
25000,4.8875e-05,0.00156121,0.0434453,0.027845,0.00104447
30000,6.0705e-05,0.00263466,0.0621532,0.0398432,0.00104052
1000,1.576e-06,0.00193076,0.000151194,0.000121677,2.9849e-05
5000,1.0782e-05,0.00180566,0.00193731,0.00127697,3.4021e-05
10000,1.9223e-05,0.00160939,0.00718079,0.00472307,0.00104339
15000,4.6237e-05,0.00212778,0.0158943,0.0102513,0.00105265
20000,4.0738e-05,0.0279145,0.0274905,0.0179762,0.00104746
25000,4.9486e-05,0.00161192,0.0434611,0.0278184,0.00104613
30000,5.9655e-05,0.00127477,0.0621614,0.0398815,0.000984005
1000,1.679e-06,0.00151038,0.000146648,0.000114077,2.6289e-05
5000,1.0004e-05,0.00130407,0.00193746,0.00127978,3.4345e-05
10000,2.1063e-05,0.00170612,0.00719292,0.00473925,0.00104414
