N,total_time
10000,1.03447
20000,3.35163
30000,8.10991
10000,1.0756
20000,3.42918
30000,7.51625
10000,1.04158
20000,3.78221
30000,7.54821
10000,1.01452
20000,3.5784
30000,7.58339
10000,1.12442
20000,3.57324
30000,7.67993
10000,1.0531
20000,3.63949
30000,7.64789
1000,0.171084
5000,0.435626
10000,1.03187
15000,2.16325
20000,3.57057
25000,5.50175
30000,7.59514
1000,0.275001
5000,0.450166
10000,1.03331
15000,2.10089
20000,3.60788
25000,5.51338
30000,7.54338
1000,0.272189
5000,0.487793
10000,1.045
15000,2.07312
20000,3.66649
25000,5.43039
30000,7.60852
1000,0.254133
5000,0.390837
10000,1.03917
15000,2.08116
20000,3.76515
25000,5.38779
30000,7.48194
1000,0.181146
5000,0.388275
10000,1.02563
15000,2.06321
20000,3.71556
25000,5.376
30000,7.71596
