N,t_a,t_b,t_c,t_d,t_e
10000,3.4025e-05,0.390395,0.239129,0.246684,0.00524265
20000,6.4955e-05,0.216172,1.30995,0.76043,0.0053339
30000,9.4257e-05,0.192796,3.03363,1.54011,0.00541632
10000,3.3097e-05,0.181753,0.180353,0.19541,0.00530877
20000,7.6016e-05,0.127863,1.30719,0.760354,0.00533096
30000,9.2796e-05,0.166086,3.00861,1.69589,0.00535147
10000,3.3471e-05,0.174493,0.238365,0.255156,0.0131103
20000,8.3757e-05,0.117006,1.34275,0.759887,0.00533881
30000,0.000102949,0.139989,2.94495,1.99838,0.00778388
10000,3.6934e-05,0.308653,0.188591,0.244972,0.00530621
20000,7.3786e-05,0.143678,1.40017,0.773267,0.00549357
30000,0.000146938,0.198332,3.22704,2.53435,0.00535695
