N,t_a,t_b,t_c,t_d,t_e,total_time
10000,2.0899e-05,3.7943e-05,0.259263,0.119875,5.8448e-05,0.915622
20000,4.0557e-05,8.0143e-05,1.06175,0.477789,0.00011501,3.69144
30000,5.4524e-05,0.000161977,4.42541,1.05071,0.000239098,10.7473
10000,1.958e-05,3.8023e-05,0.259779,0.113953,5.6311e-05,0.914111
20000,3.6111e-05,7.4347e-05,1.11061,0.489863,0.000101131,3.75069
30000,5.5491e-05,0.000112815,2.52532,1.0575,0.000149259,8.41259
10000,2.0395e-05,4.4185e-05,0.256383,0.112854,7.3628e-05,0.90529
20000,3.9844e-05,7.7211e-05,1.06271,0.470754,0.000120937,3.67325
30000,5.6641e-05,0.000109437,2.37567,1.04613,0.000162586,8.26728
10000,1.9374e-05,3.8024e-05,0.256109,0.112916,7.174e-05,0.906293
20000,3.9526e-05,7.8053e-05,1.06549,0.448096,0.000119438,3.6418
30000,5.2776e-05,0.000113199,2.50608,1.04577,0.000159121,8.40569
10000,2.1152e-05,3.6996e-05,0.257871,0.112519,7.1063e-05,0.908739
20000,4.2324e-05,8.476e-05,1.15535,0.474918,0.000118459,3.83812
30000,5.5888e-05,0.000110856,2.59373,1.05405,0.000161604,8.46532
1000,2.269e-06,4.667e-06,0.00358199,0.000928771,6.914e-06,0.00997469
5000,1.0564e-05,1.8629e-05,0.0678509,0.0288818,2.9926e-05,0.241611
10000,2.1052e-05,4.5472e-05,0.269691,0.11519,7.5882e-05,0.943399
15000,3.0763e-05,6.1125e-05,0.612741,0.259209,8.0521e-05,2.12653
20000,3.8653e-05,8.3696e-05,1.10559,0.485489,0.000118154,3.88145
25000,4.8966e-05,9.9441e-05,1.77582,0.748053,0.000140492,6.04912
30000,5.4007e-05,0.000105905,2.51007,1.08407,0.000167584,8.72511
1000,1.74e-06,4.395e-06,0.0037456,0.0011268,6.464e-06,0.0108128
5000,1.0445e-05,1.8578e-05,0.0719668,0.0295826,2.8226e-05,0.24958
10000,1.8755e-05,3.737e-05,0.263831,0.114145,6.0522e-05,0.932278
15000,2.8447e-05,6.0841e-05,0.613278,0.26,8.4455e-05,2.1299
20000,3.8765e-05,7.8941e-05,1.16525,0.462001,0.000103426,3.92363
25000,5.254e-05,9.9726e-05,1.78263,0.742984,0.000123364,6.08273
30000,5.5959e-05,0.000103697,2.53722,1.10258,0.000156086,8.68458
1000,1.703e-06,4.168e-06,0.00309993,0.00105759,6.676e-06,0.0101191
5000,1.1047e-05,1.8421e-05,0.0675263,0.0294791,3.3038e-05,0.240536
10000,2.0719e-05,4.8325e-05,0.269115,0.114203,7.4717e-05,0.941763
15000,3.1388e-05,6.1997e-05,0.609083,0.259103,8.1409e-05,2.12396
20000,3.9744e-05,7.9007e-05,1.28824,0.459601,0.00011459,4.02014
25000,4.3921e-05,9.6388e-05,1.77285,0.754982,0.000138858,6.0698
30000,5.7573e-05,0.000105632,2.5104,1.09374,0.000168346,8.64407
1000,1.774e-06,4.469e-06,0.00321925,0.000896851,5.915e-06,0.0103999
5000,1.0198e-05,1.8854e-05,0.0661556,0.0284933,3.2041e-05,0.236849
10000,1.9851e-05,3.9067e-05,0.274984,0.113613,6.2824e-05,0.968255
15000,3.2373e-05,6.8492e-05,0.621615,0.283432,8.6692e-05,2.18862
20000,4.0664e-05,7.9034e-05,1.09306,0.487572,0.000107909,3.83439
25000,5.008e-05,9.7227e-05,1.74985,0.731776,0.000144681,6.02624
30000,6.8736e-05,0.000105052,2.58185,1.10877,0.000171394,8.71421
1000,1.646e-06,3.936e-06,0.00298527,0.000789114,6.148e-06,0.00966297
5000,1.1401e-05,1.7571e-05,0.0651188,0.0285955,4.1652e-05,0.231333
10000,2.183e-05,4.9628e-05,0.270189,0.115254,6.0545e-05,0.944746
15000,3.1019e-05,6.5373e-05,0.615522,0.259329,8.1955e-05,2.1401
20000,3.9427e-05,8.0174e-05,1.29839,0.461587,0.0001161,4.00857
25000,5.027e-05,0.000101573,1.76555,0.757616,0.000136966,6.08276
30000,5.5544e-05,0.000108121,2.63728,1.10758,0.000175543,8.80347
