Nrow Ncol EffectiveBW EffectiveLoadMBytes/s EffectiveStoreMBytes/s
100 100 62272.73 14014.08 7007.04
200 200 56645.58 12074.88 6037.44
400 400 32342.26 11543.04 5771.52
800 800 30469.01 4567.04 2283.52
1600 1600 9057.96 3399.68 1699.84
3200 3200 9403.70 3112.96 1556.48
6400 6400 6658.31 1966.08 983.04
12800 12800 3442.43 2621.44 1310.72
25600 25600 3065.16 10485.76 5242.88
128 128 19356.48 7729.05 3864.53
256 256 9690.41 2248.15 1124.07
512 512 3498.97 1027.60 513.80
1024 1024 3490.72 1241.51 620.76
2048 2048 1084.24 402.65 201.33
4096 4096 335.79 268.44 134.22
8192 8192 200.56 1073.74 536.87
16384 16384 200.34 4294.97 2147.48
32768 32768 199.30 17179.87 8589.93
