Nrow Ncol EffectiveBW EffectiveLoadMBytes/s EffectiveStoreMBytes/s
100 100 38957.79 15136.80 7568.40
200 200 36912.58 15334.40 7667.20
400 400 35831.06 11013.12 5506.56
800 800 34479.16 12083.20 6041.60
1600 1600 8961.64 2990.08 1495.04
3200 3200 9984.23 2621.44 1310.72
6400 6400 9188.04 1966.08 983.04
12800 12800 5168.39 2621.44 1310.72
25600 25600 2980.31 10485.76 5242.88
128 128 36206.73 14582.02 7291.01
256 256 13097.07 2005.93 1002.96
512 512 6625.87 1711.28 855.64
1024 1024 6403.78 1962.93 981.47
2048 2048 5364.84 1476.40 738.20
4096 4096 1410.26 268.44 134.22
8192 8192 865.97 1073.74 536.87
16384 16384 428.85 4294.97 2147.48
32768 32768 349.53 17179.87 8589.93
