Nrow Ncol EffectiveBW EffectiveLoadMBytes/s EffectiveStoreMBytes/s
100 100 45081.27 14673.60 7336.80
200 200 42457.60 13290.24 6645.12
400 400 40805.84 15564.80 7782.40
800 800 18479.08 10567.68 5283.84
1600 1600 11470.96 4136.96 2068.48
3200 3200 8943.03 3768.32 1884.16
6400 6400 7559.86 2621.44 1310.72
12800 12800 5294.19 2621.44 1310.72
25600 25600 5247.02 10485.76 5242.88
128 128 20500.77 3103.52 1551.76
256 256 15998.02 2867.86 1433.93
512 512 6805.51 1761.61 880.80
1024 1024 5343.54 1828.72 914.36
2048 2048 2431.94 872.42 436.21
4096 4096 452.12 268.44 134.22
8192 8192 316.05 1073.74 536.87
16384 16384 314.41 4294.97 2147.48
32768 32768 334.45 17179.87 8589.93
