Nrow Ncol EffectiveBW EffectiveLoadMBytes/s EffectiveStoreMBytes/s
100 100 62178.58 10954.56 5477.28
200 200 57476.05 14200.32 7100.16
400 400 33260.65 10874.88 5437.44
800 800 24493.78 10936.32 5468.16
1600 1600 8932.19 2252.80 1126.40
3200 3200 8194.87 2457.60 1228.80
6400 6400 5951.06 1966.08 983.04
12800 12800 2648.59 2621.44 1310.72
25600 25600 2436.13 10485.76 5242.88
128 128 20144.60 3107.98 1553.99
256 256 12842.39 2327.84 1163.92
512 512 3468.34 1090.52 545.26
1024 1024 3393.30 1140.85 570.43
2048 2048 1029.65 335.54 167.77
4096 4096 309.18 268.44 134.22
8192 8192 180.66 1073.74 536.87
16384 16384 180.90 4294.97 2147.48
32768 32768 193.27 17179.87 8589.93
